MatchID,RoundID,Country,Year,Winner,Runners.Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,TotalAttendance,Datetime,Stage,Stadium,City,Home.Team.Name,Home.Team.Goals,Away.Team.Goals,Away.Team.Name,Win.conditions,Attendance,Half.time.Home.Goals,Half.time.Away.Goals,Referee,Referee_Country_Initials,Assistant.1,Assistant1_Country_Initials,Assistant.2,Assistante2_Country_Initials,Home.Team.Initials,Away.Team.Initials,Team.Initials,Coach.Name,Coach_Country_Initials,Line.up,Shirt.Number,Player.Name,Position,Event
151,,,,,,,,,,,,1990-06-12T21:00:00Z,Group F,Della Favorita,Palermo ,Netherlands,1,1,Egypt, ,33288,0,0, ALADREN Emilio SORIANO,ESP, MENDEZ Edgardo CODESAL,MEX, DE SAN VICENTE Juan CARDELLINO,URU,NED,EGY,NED, Leo BEENHAKKER,NED,true,1,Hans VAN BREUKELEN,GK,
152,,,,,,,,,,,,1990-06-17T17:00:00Z,Group F,Della Favorita,Palermo ,"rn"">Republic of Ireland",0,0,Egypt, ,,0,0, LANGENHOVE Marcel VAN,BEL, Joel QUINIOU,FRA, BELLO Rosario LO,ITA,IRL,EGY,IRL, Jack CHARLTON,ENG,true,1,Pat BONNER,GK,
159,3464,,,,,,,,,,,1990-07-04T20:00:00Z,Semi-finals,Stadio delle Alpi,Turin ,Germany FR,1,1,England, win on penalties (4 - 3) ,62628,0,0, WRIGHT Jose RAMIZ,BRA, Joel QUINIOU,FRA, HOYOS Armando PEREZ,COL,FRG,ENG,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
160,322,,,,,,,,,,,1990-06-16T21:00:00Z,Group F,Sant Elia,Cagliari ,England,0,0,Netherlands, ,35267,0,0, Zoran PETROVIC,SRB, Mohamed HANSAL,ALG, MENDEZ Edgardo CODESAL,MEX,ENG,NED,ENG, Bobby ROBSON,ENG,true,1,Peter SHILTON,GK,
161,,,,,,,,,,,,1990-06-11T21:00:00Z,Group F,Sant Elia,Cagliari ,England,1,1,"rn"">Republic of Ireland", ,35238,1,0, Aron SCHMIDHUBER,GER, Erik FREDRIKSSON,SWE, Kurt ROETHLISBERGER,SUI,ENG,IRL,ENG, Bobby ROBSON,ENG,true,1,Peter SHILTON,GK,
162,3463,,,,,,,,,,,1990-07-07T20:00:00Z,Match for third place,Stadio San Nicola,Bari ,Italy,2,1,England, ,51426,0,0, Joel QUINIOU,FRA, Mohamed HANSAL,ALG, Kurt ROETHLISBERGER,SUI,ITA,ENG,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
175,322,,,,,,,,,,,1990-06-17T21:00:00Z,Group E,Dacia Arena,Udine ,Korea Republic,1,3,Spain, ,32733,1,1, GUERRERO Elias V. JACOME,ECU, Pierluigi MAGNI,ITA, Juan LOUSTAU,ARG,KOR,ESP,KOR, Hoe Taik LEE,KOR,true,21,CHOI In Young,GK,
180,,,,,,,,,,,,1990-06-13T17:00:00Z,Group E,Dacia Arena,Udine ,Uruguay,0,0,Spain, ,35713,0,0, Helmut KOHL,AUT, Alexey SPIRIN,RUS, Siegfried KIRSCHEN,GER,URU,ESP,URU, Oscar TABAREZ,URU,true,1,Fernando ALVEZ,GK,
181,323,,,,,,,,,,,1990-06-26T17:00:00Z,Round of 16,Marc Antonio Bentegodi,Verona ,Spain,1,2,Yugoslavia,Yugoslavia win after extra time ,35500,0,0, Aron SCHMIDHUBER,GER, Alan SNODDY,NIR, Michal LISTKIEWICZ,POL,ESP,YUG,ESP, Luis SUAREZ,ESP,true,1,ZUBIZARRETA,GK,
196,,,,,,,,,,,,1990-06-24T21:00:00Z,Round of 16,Giuseppe Meazza,Milan ,Germany FR,2,1,Netherlands, ,74559,0,0, Juan LOUSTAU,ARG, GUERRERO Elias V. JACOME,ECU, Vincent MAURO,USA,FRG,NED,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
197,751,,,,,,,,,,,1990-07-01T17:00:00Z,Quarter-finals,Giuseppe Meazza,Milan ,Germany FR,1,0,Czechoslovakia, ,73347,1,0, Helmut KOHL,AUT, Peter MIKKELSEN,DEN, Michal LISTKIEWICZ,POL,FRG,TCH,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
198,322,,,,,,,,,,,1990-06-15T21:00:00Z,Group D,Giuseppe Meazza,Milan ,Germany FR,5,1,"rn"">United Arab Emirates", ,71169,2,0, Alexey SPIRIN,RUS, Shizuo TAKADA,JPN, Pierluigi PAIRETTO,ITA,FRG,UAE,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
201,,,,,,,,,,,,1990-06-10T21:00:00Z,Group D,Giuseppe Meazza,Milan ,Germany FR,4,1,Yugoslavia, ,74765,2,0, Peter MIKKELSEN,DEN, Jassim MANDI,BHR, Michal LISTKIEWICZ,POL,FRG,YUG,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
228,,,,,,,,,,,,1990-06-21T21:00:00Z,Group F,Della Favorita,Palermo ,"rn"">Republic of Ireland",1,1,Netherlands, ,33288,0,1, Michel VAUTROT,FRA, Richard LORENC,AUS, Mohamed HANSAL,ALG,IRL,NED,IRL, Jack CHARLTON,ENG,true,1,Pat BONNER,GK,
243,751,,,,,,,,,,,1990-06-30T21:00:00Z,Quarter-finals,Stadio Olimpico,Rome ,Italy,1,0,"rn"">Republic of Ireland", ,73303,1,0, VALENTE Carlos Alberto SILVA,POR, HOYOS Armando PEREZ,COL, MORERA Berny ULLOA,CRC,ITA,IRL,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
248,323,,,,,,,,,,,1990-06-25T17:00:00Z,Round of 16,Luigi Ferraris,Genoa ,"rn"">Republic of Ireland",0,0,Romania,Republic of Ireland win on penalties (5 - 4) ,31818,0,0, WRIGHT Jose RAMIZ,BRA, Carlos MACIEL,PAR, Jassim MANDI,BHR,IRL,ROU,IRL, Jack CHARLTON,ENG,true,1,Pat BONNER,GK,
263,322,,,,,,,,,,,1990-06-19T21:00:00Z,Group A,Stadio Olimpico,Rome ,Italy,2,0,Czechoslovakia, ,73303,1,0, Joel QUINIOU,FRA, LANGENHOVE Marcel VAN,BEL, George SMITH,SCO,ITA,TCH,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
264,323,,,,,,,,,,,1990-06-25T21:00:00Z,Round of 16,Stadio Olimpico,Rome ,Italy,2,0,Uruguay, ,,0,0, George COURTNEY,ENG, Kurt ROETHLISBERGER,SUI, Zoran PETROVIC,SRB,ITA,URU,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
265,322,,,,,,,,,,,1990-06-14T21:00:00Z,Group A,Stadio Olimpico,Rome ,Italy,1,0,USA, ,73423,1,0, MENDEZ Edgardo CODESAL,MEX, DE SAN VICENTE Juan CARDELLINO,URU, MORERA Berny ULLOA,CRC,ITA,USA,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
290,,,,,,,,,,,,1990-06-21T17:00:00Z,Group E,Friuli,Udine ,Korea Republic,0,1,Uruguay, ,29039,0,0, Tullio LANESE,ITA, Jean Fidele DIRAMBA,GAB, Neji JOUINI,TUN,KOR,URU,KOR, Hoe Taik LEE,KOR,true,21,CHOI In Young,GK,
342,,,,,,,,,,,,1990-06-09T17:00:00Z,Group B,Stadio San Nicola,Bari ,Soviet Union,0,2,Romania, ,42907,0,1, DE SAN VICENTE Juan CARDELLINO,URU, ALADREN Emilio SORIANO,ESP, ARCE Hernan SILVA,CHI,URS,ROU,URS, Valeriy LOBANOVSKYI,UKR,true,1,Rinat DASAEV,GKC,
348,,,,,,,,,,,,1990-06-16T21:00:00Z,Group C,Luigi Ferraris,Genoa ,Sweden,1,2,Scotland, ,31823,0,1, Carlos MACIEL,PAR, Vincent MAURO,USA, Michal LISTKIEWICZ,POL,SWE,SCO,SWE, Olle NORDIN,SWE,true,22,Thomas RAVELLI,GK,
355,,,,,,,,,,,,1990-06-10T17:00:00Z,Group A,Comunale,Florence ,USA,1,5,Czechoslovakia, ,33266,0,2, Kurt ROETHLISBERGER,SUI, LANGENHOVE Marcel VAN,BEL, Aron SCHMIDHUBER,GER,USA,TCH,USA, Bob GANSLER,USA,true,1,Tony MEOLA,GK,Y39'
